STT,Field,Description
1,Type,Type of transaction made
2,Days for shipping (real),Actual shipping days of the purchased product
3,Days for shipment (scheduled),Days of scheduled delivery of the purchased product
4,Benefit per order,Earnings per order placed
5,Sales per customer,Total sales per customer made per customer
6,Delivery Status,"Delivery status of orders: Advance shipping, Late delivery, Shipping canceled, Shipping on time"
7,Late_delivery_risk,Categorical variable that indicates if sending is late (1) or not late (0)
8,Category Id,Product category code
9,Category Name,Description of the product category
10,Customer City,City where the customer made the purchase
11,Customer Country,Country where the customer made the purchase
12,Customer Email,Customer's email
13,Customer Fname,Customer name
14,Customer Id,Customer ID
15,Customer Lname,Customer lastname
16,Customer Password,Masked customer key
17,Customer Segment,"Types of Customers: Consumer, Corporate, Home Office"
18,Customer State,State to which the store where the purchase is registered belongs
19,Customer Street,Street to which the store where the purchase is registered belongs
20,Customer Zipcode,Customer Zipcode
21,Department Id,Department code of store
22,Department Name,Department name of store
23,Latitude,Latitude corresponding to location of store
24,Longitude,Longitude corresponding to location of store
25,Market,"Market to where the order is delivered: Africa, Europe, LATAM, Pacific Asia, USCA"
26,Order City,Destination city of the order
27,Order Country,Destination country of the order
28,Order Customer Id,Customer order code
29,order date (DateOrders),Date on which the order is made
30,Order Id,Order code
31,Order Item Cardprod Id,Product code generated through the RFID reader
32,Order Item Discount,Order item discount value
33,Order Item Discount Rate,Order item discount percentage
34,Order Item Id,Order item code
35,Order Item Product Price,Price of products without discount
36,Order Item Profit Ratio,Order item profit ratio
37,Order Item Quantity,Number of products per order
38,Sales,Value in sales
39,Order Item Total,Total amount per order
40,Order Profit Per Order,Order profit per order
41,Order Region,"Region of the world where the order is delivered: Southeast Asia, South Asia, Oceania, Eastern Asia, West Asia, West of USA, US Center, West Africa, Central Africa, North Africa, Western Europe, Northern, Caribbean, South America, East Africa, Southern Europe, East of USA, Canada, Southern Africa, Central Asia, Europe, Central America, Eastern Europe, South of USA"
42,Order State,State of the region where the order is delivered
43,Order Status,"Order Status: COMPLETE, PENDING, CLOSED, PENDING_PAYMENT, CANCELED, PROCESSING, SUSPECTED_FRAUD, ON_HOLD, PAYMENT_REVIEW"
44,Product Card Id,Product code
45,Product Category Id,Product category code
46,Product Description,Product description
47,Product Image,Link of visit and purchase of the product
48,Product Name,Product name
49,Product Price,Product price
50,Product Status,"Status of the product stock: If it is 1 not available, 0 the product is available"
51,Shipping date (DateOrders),Exact date and time of shipment
52,Shipping Mode,"Shipping modes: Standard Class, First Class, Second Class, Same Day"
